,Carburant,Hybride,Puissance maximale (kW),type_boite,nombre_vitesses,CO2 (g/km),Carrosserie,gamme,masse vide moyenne
233,GO,non,110.0,A,6,119.0,BERLINE,MOY-INFER,1395.0
234,GO,non,110.0,M,6,108.0,BERLINE,MOY-INFER,1385.0
235,GO,non,110.0,M,6,122.0,BERLINE,MOY-INFER,1465.0
236,ES,non,88.0,V,0,149.0,BREAK,MOY-SUPER,1600.0
237,ES,non,88.0,M,6,154.0,BREAK,MOY-SUPER,1565.0
238,GO,non,180.0,M,6,154.0,BREAK,MOY-SUPER,1755.0
239,ES,non,331.0,A,7,249.0,BREAK,MOY-SUPER,1870.0
240,GO,non,130.0,V,0,129.0,BREAK,MOY-SUPER,1650.0
241,GO,non,130.0,M,6,126.0,BREAK,MOY-SUPER,1610.0
242,GO,non,130.0,A,7,144.0,BREAK,MOY-SUPER,1715.0
243,GO,non,130.0,M,6,139.0,BREAK,MOY-SUPER,1675.0
244,ES,non,245.0,A,7,197.0,BREAK,MOY-SUPER,1825.0
245,GO,non,100.0,M,6,116.0,BREAK,MOY-SUPER,1610.0
246,GO,non,88.0,M,6,123.0,BREAK,MOY-SUPER,1615.0
247,GO,non,180.0,A,7,154.0,BREAK,MOY-SUPER,1840.0
248,GO,non,150.0,V,0,135.0,BREAK,MOY-SUPER,1715.0
249,GO,non,150.0,M,6,135.0,BREAK,MOY-SUPER,1695.0
250,ES,non,200.0,A,7,197.0,BREAK,MOY-SUPER,1790.0
251,GO,non,130.0,A,7,156.0,TS TERRAINS/CHEMINS,MOY-SUPER,1745.0
252,GO,non,130.0,M,6,153.0,TS TERRAINS/CHEMINS,MOY-SUPER,1705.0
253,GO,non,180.0,A,7,159.0,TS TERRAINS/CHEMINS,MOY-SUPER,1865.0
254,ES,non,88.0,V,0,144.0,BERLINE,MOY-SUPER,1540.0
255,ES,non,88.0,M,6,151.0,BERLINE,MOY-SUPER,1505.0
256,GO,non,180.0,M,6,152.0,BERLINE,MOY-SUPER,1715.0
257,GO,non,130.0,V,0,127.0,BERLINE,MOY-SUPER,1595.0
258,GO,non,130.0,M,6,120.0,BERLINE,MOY-SUPER,1555.0
259,GO,non,130.0,A,7,139.0,BERLINE,MOY-SUPER,1670.0
260,GO,non,130.0,M,6,134.0,BERLINE,MOY-SUPER,1635.0
261,ES,non,245.0,A,7,190.0,BERLINE,MOY-SUPER,1780.0
262,GO,non,100.0,M,6,112.0,BERLINE,MOY-SUPER,1550.0
263,GO,non,88.0,M,6,117.0,BERLINE,MOY-SUPER,1560.0
264,GO,non,180.0,A,7,149.0,BERLINE,MOY-SUPER,1795.0
265,GO,non,150.0,V,0,129.0,BERLINE,MOY-SUPER,1665.0
266,GO,non,150.0,M,6,133.0,BERLINE,MOY-SUPER,1650.0
267,ES,non,200.0,A,7,190.0,BERLINE,MOY-SUPER,1740.0
268,GO,non,180.0,M,6,151.0,COUPE,MOY-SUPER,1680.0
269,ES,non,331.0,A,7,246.0,COUPE,MOY-SUPER,1790.0
270,GO,non,130.0,V,0,123.0,COUPE,MOY-SUPER,1570.0
271,GO,non,130.0,M,6,120.0,COUPE,MOY-SUPER,1545.0
272,GO,non,130.0,A,7,139.0,COUPE,MOY-SUPER,1650.0
273,GO,non,130.0,M,6,134.0,COUPE,MOY-SUPER,1610.0
274,ES,non,245.0,A,7,190.0,COUPE,MOY-SUPER,1750.0
275,GO,non,180.0,A,7,149.0,COUPE,MOY-SUPER,1755.0
276,GO,non,150.0,V,0,129.0,COUPE,MOY-SUPER,1640.0
277,GO,non,150.0,M,6,133.0,COUPE,MOY-SUPER,1615.0
278,ES,non,200.0,A,7,190.0,COUPE,MOY-SUPER,1725.0
279,ES,non,331.0,A,7,249.0,CABRIOLET,MOY-SUPER,1995.0
280,GO,non,130.0,V,0,132.0,CABRIOLET,MOY-SUPER,1755.0
281,GO,non,130.0,M,6,127.0,CABRIOLET,MOY-SUPER,1730.0
282,GO,non,130.0,M,6,142.0,CABRIOLET,MOY-SUPER,1795.0
283,ES,non,245.0,A,7,199.0,CABRIOLET,MOY-SUPER,1955.0
284,GO,non,150.0,V,0,138.0,CABRIOLET,MOY-SUPER,1835.0
285,ES,non,200.0,A,7,199.0,CABRIOLET,MOY-SUPER,1925.0
286,GO,non,180.0,M,6,152.0,BERLINE,MOY-SUPER,1735.0
287,GO,non,130.0,V,0,127.0,BERLINE,MOY-SUPER,1615.0
288,GO,non,130.0,M,6,120.0,BERLINE,MOY-SUPER,1590.0
289,GO,non,130.0,A,7,139.0,BERLINE,MOY-SUPER,1700.0
290,GO,non,130.0,M,6,134.0,BERLINE,MOY-SUPER,1670.0
291,ES,non,245.0,A,7,190.0,BERLINE,MOY-SUPER,1820.0
292,GO,non,180.0,A,7,152.0,TS TERRAINS/CHEMINS,LUXE,1810.0
293,GO,non,150.0,V,0,129.0,BERLINE,MOY-SUPER,1695.0
294,GO,non,150.0,M,6,133.0,BERLINE,MOY-SUPER,1670.0
295,ES,non,200.0,A,7,190.0,BERLINE,MOY-SUPER,1790.0
